vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
345,16330,41705,8835,5289,10,2000,0.7841220641147073,0.2158779358852927,0.0,0.0
346,12532,19641,12576,40775,14,2000,0.8127321483174241,0.1872678516825758,0.0,0.0
347,14586,29993,28138,9945,15,2000,0.7102360213088406,0.2897639786911594,0.0,0.0
348,9899,31768,19970,33390,13,2000,0.7217913513370717,0.2782086486629282,0.0,0.0
349,13529,28927,9652,13302,12,2000,0.7053567909688359,0.2946432090311641,0.0,0.0
350,7948,31719,22568,14262,14,2000,0.7950020630296583,0.2049979369703417,0.0,0.0
351,9953,46925,29549,5399,14,2000,0.8688226346704223,0.1311773653295777,0.27,0.005787781350482316
352,13919,12470,20360,15468,10,2000,0.7537961882748233,0.2462038117251767,0.0,0.0
353,16148,14658,17005,24923,8,2000,0.807796153001063,0.192203846998937,0.0,0.0
354,7812,41032,5981,8155,9,2000,0.8086332062098299,0.19136679379017,0.0,0.0
355,15836,25538,12080,21137,11,2000,0.8664738025414003,0.1335261974585997,0.16,0.003429796355841372
356,16459,14156,19886,19023,8,2000,0.8944848566284661,0.1055151433715338,0.89,0.01907824222936763
357,19283,37779,8627,48303,10,2000,0.8403858297430473,0.1596141702569526,0.0,0.0
358,16147,34485,21305,17591,8,2000,0.7335460263277817,0.2664539736722183,0.0,0.0
359,17121,35605,26662,30302,14,2000,0.7451318311420818,0.2548681688579182,0.0,0.0
360,19556,47948,5381,17411,8,2000,0.7388027677008865,0.2611972322991135,0.0,0.0
361,9631,31951,15139,25194,15,2000,0.7809416164719185,0.2190583835280815,0.0,0.0
362,18421,32204,24893,21557,16,2000,0.8902485202396878,0.1097514797603121,0.75,0.01607717041800643
363,15976,39386,27870,25971,8,2000,0.8933446215257945,0.1066553784742054,0.88,0.018863879957127547
364,8725,35678,6903,22118,11,2000,0.752243026670653,0.2477569733293469,0.0,0.0
365,10283,41281,7384,30871,11,2000,0.8933769898591073,0.1066230101408927,0.9,0.01929260450160772
366,8537,27247,7263,25497,15,2000,0.8666027184548045,0.1333972815451954,0.15,0.003215434083601286
367,16419,15042,18305,36478,9,2000,0.7559107212033995,0.2440892787966004,0.0,0.0
368,17916,32150,25380,35833,14,2000,0.7372561714620325,0.2627438285379675,0.0,0.0
369,7695,11974,5627,12256,16,2000,0.8990427430836523,0.1009572569163477,0.88,0.018863879957127547
370,10222,47390,14571,41725,11,2000,0.8726739809839266,0.1273260190160734,0.25,0.0053590568060021436
371,17589,22844,5159,39311,10,2000,0.8738530653103405,0.1261469346896595,0.32,0.006859592711682744
372,11135,18357,5571,10358,10,2000,0.7477954889607857,0.2522045110392142,0.0,0.0
373,16814,38214,17614,38230,9,2000,0.7966222001291986,0.2033777998708014,0.0,0.0
374,11071,28135,5467,18931,13,2000,0.8767952015214185,0.1232047984785814,0.41,0.008788853161843515
375,13167,49927,5896,36707,8,2000,0.8738687644015158,0.1261312355984841,0.32,0.006859592711682744
376,18516,37761,22876,32623,11,2000,0.7622404404569741,0.2377595595430258,0.0,0.0
377,9272,31369,24101,9506,16,2000,0.8172752778400824,0.1827247221599176,0.0,0.0
378,18033,34054,18258,42123,8,2000,0.8491049680311981,0.1508950319688019,0.01,0.00021436227224008576
379,12471,49617,22474,11867,15,2000,0.7637371759925305,0.2362628240074694,0.0,0.0
380,8701,42946,9987,28757,10,2000,0.7952053574266327,0.2047946425733673,0.0,0.0
381,10312,48563,13533,6896,9,2000,0.8998302980079045,0.1001697019920955,0.87,0.01864951768488746
382,15953,17021,11376,9532,12,2000,0.8186135009605788,0.1813864990394211,0.0,0.0
383,8640,32985,28854,38024,10,2000,0.8034744375199019,0.1965255624800981,0.0,0.0
384,18196,30715,17362,34540,11,2000,0.8479161331648347,0.1520838668351652,0.01,0.00021436227224008576
385,11893,42620,10932,32329,8,2000,0.7917943632984435,0.2082056367015564,0.0,0.0
386,14266,45480,27104,18093,13,2000,0.7373592935707256,0.2626407064292744,0.0,0.0
387,17066,47781,22264,31854,16,2000,0.7758207953147438,0.2241792046852562,0.0,0.0
388,14729,45413,23417,29104,12,2000,0.791348926569075,0.208651073430925,0.0,0.0
389,19752,42329,21140,16113,13,2000,0.752141326621717,0.247858673378283,0.0,0.0
390,19024,43680,29235,14253,16,2000,0.7430349437923381,0.2569650562076618,0.0,0.0
391,9148,32846,28587,15402,13,2000,0.7606203168636333,0.2393796831363667,0.0,0.0
392,15076,20340,9600,42513,16,2000,0.8007499675972702,0.1992500324027297,0.0,0.0
