vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
47,9012,16384,7841,12823,10,0.8328312558842934,2000,0.1671687441157066,0.0,0.0
48,10337,29626,10204,14329,11,0.8009539180235659,2000,0.19904608197643414,0.0,0.0
49,10778,26631,8430,8558,11,0.8059767665797,2000,0.19402323342030003,0.0,0.0
50,10770,27308,9990,9672,11,0.8453091252975801,2000,0.15469087470241993,0.05,0.0022999080036798527
51,10336,17053,10760,14308,9,0.7842576039986371,2000,0.2157423960013629,0.0,0.0
52,11777,23536,11065,9115,8,0.7956648976496871,2000,0.20433510235031294,0.0,0.0
53,12222,20573,5688,7574,10,0.7555369528816717,2000,0.24446304711832834,0.0,0.0
54,8696,28835,8565,11879,10,0.8725709638448438,2000,0.12742903615515622,0.32,0.014719411223551056
55,8357,24397,6133,11462,11,0.7194269840042474,2000,0.2805730159957526,0.0,0.0
56,10935,22381,10603,8196,10,0.7810119525956325,2000,0.2189880474043675,0.0,0.0
57,10674,25393,7605,6211,10,0.8599755605240311,2000,0.14002443947596888,0.13,0.005979760809567617
58,10430,19401,9807,13572,12,0.7731008149565851,2000,0.22689918504341489,0.0,0.0
59,10150,23608,6069,9235,9,0.8144540016227593,2000,0.18554599837724073,0.0,0.0
60,10535,19706,11057,8686,11,0.8594667870720804,2000,0.14053321292791965,0.18,0.00827966881324747
61,9013,19071,9881,7059,10,0.7697104439034997,2000,0.23028955609650026,0.0,0.0
62,12867,20557,5417,14413,11,0.8529343905107756,2000,0.14706560948922442,0.04,0.001839926402943882
63,9583,14619,11094,14592,9,0.8788223739773376,2000,0.12117762602266235,0.53,0.02437902483900644
64,8660,19177,11742,13594,9,0.8389291427643886,2000,0.16107085723561143,0.0,0.0
65,10890,22708,11806,13110,10,0.810818852018832,2000,0.18918114798116803,0.0,0.0
66,12032,20689,10467,12677,11,0.8188167372555281,2000,0.18118326274447194,0.0,0.0
67,8300,14037,11669,9536,10,0.7249522653093079,2000,0.2750477346906921,0.0,0.0
68,10609,24375,14241,13939,11,0.8185619381790779,2000,0.18143806182092215,0.0,0.0
69,9462,24930,8631,8510,11,0.831995555686956,2000,0.16800444431304395,0.01,0.0004599816007359705
70,9674,14697,10676,8312,9,0.8199901518108192,2000,0.18000984818918075,0.0,0.0
71,8603,17586,8994,9622,9,0.8161130000981862,2000,0.18388699990181379,0.0,0.0
72,10168,17546,9961,10543,9,0.7820862546521757,2000,0.21791374534782426,0.0,0.0
73,8951,19154,5162,10997,9,0.8359702359368402,2000,0.16402976406315983,0.0,0.0
74,11353,25015,6760,12714,11,0.76859405013115,2000,0.23140594986885,0.0,0.0
75,12304,25303,12507,10686,8,0.8256468262533588,2000,0.17435317374664117,0.0,0.0
76,9132,16660,13612,11045,10,0.833596082667286,2000,0.16640391733271398,0.0,0.0
77,7474,22612,12027,10099,8,0.795994177650945,2000,0.20400582234905495,0.0,0.0
78,9265,19628,9924,10182,9,0.7261643889710515,2000,0.2738356110289485,0.0,0.0
79,11818,16373,13384,12461,10,0.7696237894493958,2000,0.2303762105506042,0.0,0.0
80,11218,15688,14729,8025,9,0.8206623716420102,2000,0.17933762835798983,0.0,0.0
81,7020,20794,8926,8909,10,0.7981568285957283,2000,0.20184317140427166,0.0,0.0
82,12803,19009,11375,11467,10,0.8530066523508101,2000,0.14699334764918992,0.08,0.003679852805887764
83,10052,16293,11857,5651,9,0.7979527405939886,2000,0.20204725940601143,0.0,0.0
84,10461,18843,11973,13948,11,0.8323203647962287,2000,0.16767963520377127,0.0,0.0
85,7969,29195,11778,10411,9,0.7947519729850001,2000,0.2052480270149999,0.0,0.0
86,8752,20641,8599,9606,10,0.7393961030511803,2000,0.2606038969488197,0.0,0.0
87,9182,21695,7911,9001,10,0.8425700683863663,2000,0.15742993161363372,0.02,0.000919963201471941
88,10366,18526,13742,8081,12,0.753642886397961,2000,0.24635711360203905,0.0,0.0
89,9293,15337,14654,8645,9,0.7351058113274775,2000,0.26489418867252246,0.0,0.0
90,9650,22899,10103,7072,10,0.830513164497806,2000,0.169486835502194,0.0,0.0
91,11820,23661,11333,10379,10,0.8947032699888244,2000,0.10529673001117557,0.85,0.039098436062557494
92,11714,10082,9382,12326,11,0.8341294154492402,2000,0.16587058455075976,0.0,0.0
93,9826,24724,7132,11774,12,0.8006961736847436,2000,0.19930382631525645,0.0,0.0
94,7563,17167,10296,11536,11,0.7308388315801092,2000,0.2691611684198908,0.0,0.0
95,12784,25764,11065,6760,10,0.826421964939493,2000,0.17357803506050695,0.0,0.0
96,10715,28396,10182,10892,10,0.8667217231775487,2000,0.1332782768224513,0.18,0.00827966881324747
97,8287,27715,6840,12784,10,0.8050074492512229,2000,0.19499255074877708,0.0,0.0
98,10943,21227,11155,13277,9,0.8015700520745999,2000,0.19842994792540014,0.0,0.0
99,9960,24973,11358,8895,11,0.7466285395243297,2000,0.2533714604756703,0.0,0.0
100,12460,12341,10548,11580,9,0.758018472303178,2000,0.24198152769682202,0.0,0.0
101,9534,18112,8325,10872,11,0.851568688742484,2000,0.14843131125751596,0.09,0.004139834406623735
102,11329,27511,6589,11756,11,0.8554305284999505,2000,0.1445694715000495,0.1,0.004599816007359705
103,8632,23208,7515,10792,11,0.7850323420864752,2000,0.2149676579135248,0.0,0.0
